DATE                                      VALUE
1947-01-01                              5.24003
1947-04-01                              5.15609
1947-07-01                              5.12351
1947-10-01                              5.31179
1948-01-01                              5.41469
1948-04-01                              5.47851
1948-07-01                              5.48916
1948-10-01                              5.43811
1949-01-01                              5.26906
1949-04-01                              5.11834
1949-07-01                              5.20230
1949-10-01                              5.14614
1950-01-01                              5.36998
1950-04-01                              5.47605
1950-07-01                              5.56229
1950-10-01                              5.68707
1951-01-01                              5.57563
1951-04-01                              5.60005
1951-07-01                              5.51963
1951-10-01                              5.43063
1952-01-01                              5.45373
1952-04-01                              5.36704
1952-07-01                              5.41888
1952-10-01                              5.48816
1953-01-01                              5.50788
1953-04-01                              5.51125
1953-07-01                              5.48751
1953-10-01                              5.40549
1954-01-01                              5.39703
1954-04-01                              5.39359
1954-07-01                              5.44344
1954-10-01                              5.48841
1955-01-01                              5.58977
1955-04-01                              5.65105
1955-07-01                              5.66526
1955-10-01                              5.68669
1956-01-01                              5.65248
1956-04-01                              5.64107
1956-07-01                              5.62927
1956-10-01                              5.61739
1957-01-01                              5.60113
1957-04-01                              5.59978
1957-07-01                              5.62338
1957-10-01                              5.53613
1958-01-01                              5.45893
1958-04-01                              5.43498
1958-07-01                              5.51423
1958-10-01                              5.60059
1959-01-01                              5.65547
1959-04-01                              5.73569
1959-07-01                              5.66355
1959-10-01                              5.69798
1960-01-01                              5.80065
1960-04-01                              5.69395
1960-07-01                              5.68797
1960-10-01                              5.55612
1961-01-01                              5.58137
1961-04-01                              5.65320
1961-07-01                              5.73366
1961-10-01                              5.75039
1962-01-01                              5.80830
1962-04-01                              5.79858
1962-07-01                              5.81632
1962-10-01                              5.78217
1963-01-01                              5.83618
1963-04-01                              5.85064
1963-07-01                              5.88273
1963-10-01                              5.89497
1964-01-01                              5.93526
1964-04-01                              5.93066
1964-07-01                              5.95414
1964-10-01                              5.96226
1965-01-01                              6.05814
1965-04-01                              6.05808
1965-07-01                              6.09317
1965-10-01                              6.09777
1966-01-01                              6.17894
1966-04-01                              6.16052
1966-07-01                              6.15056
1966-10-01                              6.15535
1967-01-01                              6.12759
1967-04-01                              6.08401
1967-07-01                              6.11231
1967-10-01                              6.13372
1968-01-01                              6.15525
1968-04-01                              6.19488
1968-07-01                              6.16188
1968-10-01                              6.17221
1969-01-01                              6.23601
1969-04-01                              6.22801
1969-07-01                              6.25087
1969-10-01                              6.19550
1970-01-01                              6.16371
1970-04-01                              6.16683
1970-07-01                              6.18378
1970-10-01                              6.12410
1971-01-01                              6.24620
1971-04-01                              6.27672
1971-07-01                              6.28979
1971-10-01                              6.25800
1972-01-01                              6.32633
1972-04-01                              6.38574
1972-07-01                              6.39987
1972-10-01                              6.40505
1973-01-01                              6.46661
1973-04-01                              6.51230
1973-07-01                              6.47241
1973-10-01                              6.50995
1974-01-01                              6.44402
1974-04-01                              6.43905
1974-07-01                              6.38099
1974-10-01                              6.39045
1975-01-01                              6.19729
1975-04-01                              6.16195
1975-07-01                              6.24323
1975-10-01                              6.27035
1976-01-01                              6.36888
1976-04-01                              6.41065
1976-07-01                              6.41250
1976-10-01                              6.41943
1977-01-01                              6.46745
1977-04-01                              6.54190
1977-07-01                              6.59496
1977-10-01                              6.56633
1978-01-01                              6.58597
1978-04-01                              6.65237
1978-07-01                              6.68277
1978-10-01                              6.70527
1979-01-01                              6.70511
1979-04-01                              6.70279
1979-07-01                              6.68313
1979-10-01                              6.66434
1980-01-01                              6.65707
1980-04-01                              6.56251
1980-07-01                              6.48324
1980-10-01                              6.58006
1981-01-01                              6.67481
1981-04-01                              6.62603
1981-07-01                              6.68625
1981-10-01                              6.64670
1982-01-01                              6.53668
1982-04-01                              6.53579
1982-07-01                              6.52405
1982-10-01                              6.43078
1983-01-01                              6.46577
1983-04-01                              6.55790
1983-07-01                              6.62298
1983-10-01                              6.72309
1984-01-01                              6.82264
1984-04-01                              6.85580
1984-07-01                              6.87877
1984-10-01                              6.86223
1985-01-01                              6.82871
1985-04-01                              6.84582
1985-07-01                              6.83471
1985-10-01                              6.87306
1986-01-01                              6.87100
1986-04-01                              6.84856
1986-07-01                              6.81671
1986-10-01                              6.81826
1987-01-01                              6.84835
1987-04-01                              6.84975
1987-07-01                              6.85076
1987-10-01                              6.92584
1988-01-01                              6.86785
1988-04-01                              6.89189
1988-07-01                              6.89829
1988-10-01                              6.91145
1989-01-01                              6.94905
1989-04-01                              6.93730
1989-07-01                              6.92548
1989-10-01                              6.91516
1990-01-01                              6.92495
1990-04-01                              6.92524
1990-07-01                              6.90142
1990-10-01                              6.83609
1991-01-01                              6.79452
1991-04-01                              6.78948
1991-07-01                              6.81407
1991-10-01                              6.85164
1992-01-01                              6.82916
1992-04-01                              6.89295
1992-07-01                              6.90324
1992-10-01                              6.93440
1993-01-01                              6.95762
1993-04-01                              6.96545
1993-07-01                              6.96474
1993-10-01                              7.01617
