Date	Total	Merch	Bikes	Repairs	Loyal Member
1/3/2009	72	28	0	44	1
1/4/2009	55	55	0	0	1
1/5/2009	21	10	0	11	1
1/6/2009	56	28	0	28	1
1/7/2009	0	0	0	0	1
1/8/2009	0	0	0	0	1
1/9/2009	32	0	0	32	1
1/10/2009	0	0	0	0	1
1/11/2009	4571.76	0	4571.76	0	1
1/12/2009	0	0	0	0	1
1/13/2009	8	8	0	0	1
1/14/2009	238	213	0	25	1
1/15/2009	29	29	0	0	1
1/16/2009	209	48	0	161	1
1/17/2009	18	18	0	0	1
1/18/2009	43	43	0	0	1
1/19/2009	0	0	0	0	1
1/20/2009	16	16	0	0	1
1/21/2009	51	51	0	0	1
1/22/2009	0	0	0	0	0
1/23/2009	0	0	0	0	0
1/24/2009	75	75	0	0	0
1/25/2009	0	0	0	0	0
1/26/2009	0	0	0	0	0
1/27/2009	0	0	0	0	0
1/28/2009	378.5	378.5	0	0	0
1/29/2009	198	0	0	198	1
1/30/2009	0	0	0	0	1
1/31/2009	0	0	0	0	1
2/1/2009	0	0	0	0	1
2/2/2009	0	0	0	0	1
2/3/2009	0	0	0	0	1
2/4/2009	0	0	0	0	1
2/5/2009	0	0	0	0	1
2/6/2009	0	0	0	0	1
2/7/2009	0	0	0	0	1
2/8/2009	631.4	461.4	170	0	1
2/9/2009	157	157	0	0	0
2/10/2009	49	49	0	0	0
2/11/2009	39	39	0	0	0
2/12/2009	24	24	0	0	0
2/13/2009	685.4	46	639.4	0	0
2/14/2009	42	42	0	0	1
2/15/2009	158	158	0	0	1
2/16/2009	24	24	0	0	1
2/17/2009	24	24	0	0	1
2/18/2009	0	0	0	0	0
2/19/2009	24	24	0	0	0
2/20/2009	24	24	0	0	0
2/21/2009	57.69	57.69	0	0	0
2/22/2009	0	0	0	0	0
2/23/2009	0	0	0	0	0
2/24/2009	0	0	0	0	0
2/25/2009	10	10	0	0	0
2/26/2009	27	27	0	0	0
2/27/2009	38	38	0	0	0
2/28/2009	24	24	0	0	0
3/1/2009	45	45	0	0	0
3/2/2009	19	19	0	0	0
3/3/2009	17	17	0	0	0
3/4/2009	26	26	0	0	0
3/5/2009	15	15	0	0	0
3/6/2009	23	23	0	0	0
3/7/2009	31	31	0	0	0
3/8/2009	48	48	0	0	0
3/9/2009	23	23	0	0	0
3/10/2009	1424	223	1054	147	0
3/11/2009	60	60	0	0	1
3/12/2009	60	30	0	30	1
3/13/2009	46	46	0	0	1
3/14/2009	60	60	0	0	1
3/15/2009	1478.35	92	1386.35	0	1
3/16/2009	2631.25	115	2516.25	0	1
3/17/2009	0	0	0	0	1
3/18/2009	246	246	0	0	1
3/19/2009	37	0	0	37	0
3/20/2009	105	0	0	105	0
3/21/2009	0	0	0	0	1
3/22/2009	0	0	0	0	1
3/23/2009	0	0	0	0	1
3/24/2009	0	0	0	0	1
