DATE	RGDP	U
1987-10-01	8.9	5.8
1987-07-01	8.9	6
1987-04-01	8.9	6.3
1987-01-01	8.9	6.6
1986-10-01	8.9	6.8
1986-07-01	8.9	7
1986-04-01	8.9	7.2
1986-01-01	8.9	7
1985-10-01	8.8	7
1985-07-01	8.8	7.2
1985-04-01	8.8	7.3
1985-01-01	8.8	7.2
1984-10-01	8.8	7.3
1984-07-01	8.8	7.4
1984-04-01	8.8	7.4
1984-01-01	8.8	7.9
1983-10-01	8.8	8.5
1983-07-01	8.7	9.4
1983-04-01	8.7	10.1
1983-01-01	8.7	10.4
1982-10-01	8.7	10.7
1982-07-01	8.7	9.9
1982-04-01	8.7	9.4
1982-01-01	8.7	8.8
1981-10-01	8.7	8.2
1981-07-01	8.7	7.4
1981-04-01	8.7	7.4
1981-01-01	8.7	7.4
1980-10-01	8.7	7.4
1980-07-01	8.7	7.7
1980-04-01	8.7	7.3
1980-01-01	8.7	6.3
1979-10-01	8.7	6
1979-07-01	8.7	5.9
1979-04-01	8.7	5.7
1979-01-01	8.7	5.9
1978-10-01	8.7	5.9
1978-07-01	8.7	6
1978-04-01	8.6	6
1978-01-01	8.6	6.3
1977-10-01	8.6	6.7
1977-07-01	8.6	6.9
1977-04-01	8.6	7.1
1977-01-01	8.6	7.5
1976-10-01	8.6	7.8
1976-07-01	8.5	7.7
1976-04-01	8.5	7.6
1976-01-01	8.5	7.7
1975-10-01	8.5	8.3
1975-07-01	8.5	8.5
1975-04-01	8.5	8.9
1975-01-01	8.5	8.3
1974-10-01	8.5	6.6
1974-07-01	8.5	5.6
1974-04-01	8.5	5.2
1974-01-01	8.5	5.1
1973-10-01	8.5	4.8
1973-07-01	8.5	4.8
1973-04-01	8.5	4.9
1973-01-01	8.5	4.9
1972-10-01	8.5	5.4
1972-07-01	8.4	5.6
1972-04-01	8.4	5.7
1972-01-01	8.4	5.8
1971-10-01	8.4	5.9
1971-07-01	8.4	6
1971-04-01	8.4	5.9
1971-01-01	8.4	5.9
1970-10-01	8.4	5.8
1970-07-01	8.4	5.2
1970-04-01	8.4	4.8
1970-01-01	8.4	4.2
1969-10-01	8.4	3.6
1969-07-01	8.4	3.6
1969-04-01	8.4	3.4
1969-01-01	8.4	3.4
1968-10-01	8.3	3.4
1968-07-01	8.3	3.5
1968-04-01	8.3	3.6
1968-01-01	8.3	3.7
1967-10-01	8.3	3.9
1967-07-01	8.3	3.8
1967-04-01	8.3	3.8
1967-01-01	8.3	3.8
1966-10-01	8.3	3.7
1966-07-01	8.3	3.8
1966-04-01	8.2	3.8
1966-01-01	8.2	3.9
1965-10-01	8.2	4.1
1965-07-01	8.2	4.4
1965-04-01	8.2	4.7
1965-01-01	8.2	4.9
1964-10-01	8.1	5
1964-07-01	8.1	5
1964-04-01	8.1	5.2
1964-01-01	8.1	5.5
1963-10-01	8.1	5.6
1963-07-01	8.1	5.5
1963-04-01	8.1	5.7
1963-01-01	8.1	5.8
1962-10-01	8.0	5.5
1962-07-01	8.0	5.6
1962-04-01	8.0	5.5
1962-01-01	8.0	5.6
1961-10-01	8.0	6.2
1961-07-01	8.0	6.8
1961-04-01	8.0	7
1961-01-01	7.9	6.8
1960-10-01	7.9	6.3
1960-07-01	8.0	5.5
1960-04-01	7.9	5.2
1960-01-01	8.0	5.1
1959-10-01	7.9	5.6
1959-07-01	7.9	5.3
1959-04-01	7.9	5.1
1959-01-01	7.9	5.8
1958-10-01	7.9	6.4
1958-07-01	7.9	7.3
1958-04-01	7.8	7.4
1958-01-01	7.8	6.3
1957-10-01	7.9	4.9
1957-07-01	7.9	4.2
1957-04-01	7.9	4.1
1957-01-01	7.9	3.9
1956-10-01	7.9	4.1
1956-07-01	7.8	4.1
1956-04-01	7.8	4.2
1956-01-01	7.8	4
1955-10-01	7.8	4.2
1955-07-01	7.8	4.1
1955-04-01	7.8	4.4
1955-01-01	7.8	4.7
1954-10-01	7.8	5.3
1954-07-01	7.8	6
1954-04-01	7.7	5.8
1954-01-01	7.7	5.3
1953-10-01	7.7	3.7
1953-07-01	7.8	2.7
1953-04-01	7.8	2.6
1953-01-01	7.8	2.7
1952-10-01	7.7	2.8
1952-07-01	7.7	3.2
1952-04-01	7.7	3
1952-01-01	7.7	3.1
1951-10-01	7.7	3.4
1951-07-01	7.7	3.2
1951-04-01	7.7	3.1
1951-01-01	7.7	3.5
1950-10-01	7.6	4.2
1950-07-01	7.6	4.6
1950-04-01	7.6	5.6
1950-01-01	7.6	6.4
1949-10-01	7.5	7
1949-07-01	7.5	6.7
1949-04-01	7.5	5.9
1949-01-01	7.5	4.7
1948-10-01	7.5	3.8
1948-07-01	7.5	3.8
1948-04-01	7.5	3.7
1948-01-01	7.5	3.7
